"","GDP_n","GDP_deflator","GDP_real","C_n","C_deflator","C_real","I_n","I_deflator","I_real","cpi","W_n","W_real","R_n","R_real","NX","G_n","i","wageShare","profitShare","G_share","I_share","C_share","NX_share","oecd_real"
"42",483.6369,93.3769103,517.940568440504,274.5875,96.6477708,284.111571045154,129.9319,97.7704778,132.89481950348,94.3824186,271.2439,287.388164049443,197.9172,209.697105600555,21.1135,53.9921,3.38175,0.56084202838948,0.409226839391287,0.111637676943178,0.268655886265089,0.567755479368923,0.0436556846675678,41892.5078128441
"43",482.0772,93.1439686,517.561370044523,274.3247,96.1835002,285.209728726425,130.5414,97.206913,134.292300795521,94.9890253,279.0036,293.721931685091,190.3422,200.383359444788,25.7305,55.64568,3.1989166667,0.578752946623487,0.394837590327856,0.115428981084357,0.270789408833274,0.569047239736706,0.0533742313471784,42566.2381168433
"44",487.6065,94.2428424,517.393668932889,278.7878,97.2908648,286.550849941669,129.3623,96.7941844,133.646768968488,95.5953145,279.9885,292.889354948458,194.8913,203.871184502458,24.8969,57.22011,2.65875,0.574209941828093,0.399689708812331,0.117348948383584,0.265300606123995,0.571747505416765,0.0510594095853931,43456.7626774482
"45",502.2657,94.5223927,531.372181398451,285.5569,97.8307248,291.888770714699,137.1781,97.2705377,141.027389427086,96.3628577,282.5273,293.191076669367,206.0033,213.778736866995,35.5749,57.83544,2.7401666667,0.56250566184392,0.410148055103106,0.115149093398176,0.273118590419374,0.568537529040904,0.0708288461664812,44874.8630809779
"46",520.8483,95.396383,545.983279051576,292.2759,98.8290312,295.738910369891,141.9989,97.4737152,145.679170747356,97.4921862,291.1363,298.625265621544,215.8027,221.353842201561,28.3715,58.58633,2.0955,0.558965633563554,0.414329277833872,0.112482521302268,0.272630053702777,0.561153602690073,0.0544717147008064,46181.7663832343
"47",553.7216,97.4476502,568.224681522387,301.0312,100.2631752,300.241040042386,149.8385,98.326716,152.388390557049,98.525125,302.429,306.956220557954,235.883,239.414058089244,38.6122,59.48501,2.5170833333,0.546175189842694,0.42599566280239,0.107427649562524,0.270602591627273,0.543650816583641,0.0697321542089021,47661.1707363395
"48",589.0852,99.7640422,590.478480030954,312.2917,101.8456731,306.632270664427,160.2739,100.1496929,160.034339955525,99.2466743,318.9109,321.331573324065,252.3887,254.304440708095,57.5758,61.40865,2.92675,0.541366342254058,0.428441760207182,0.104244088970492,0.272072528727593,0.530129937061736,0.0977376447413719,48957.0128739688
"49",614.4077,101.2105479,607.058960501883,322.7892,103.7003007,311.271228551028,164.2574,102.1927424,160.732940659395,101.6544395,334.575,329.129747451905,261.0663,256.817411304501,58.2498,64.94719,2.8968333333,0.544548839475807,0.424907272483727,0.105706992278905,0.267342678159795,0.525366462692443,0.0948064290209905,49155.385640716
"50",603.0391,101.67363,593.112589763934,325.8222,103.0744885,316.103630240183,152.0554,101.7634602,149.420430183053,101.1660083,342.2976,338.352383129463,243.7185,240.909475519951,37.6499,68.65373,2.2026666667,0.567620905510107,0.404150410810841,0.113846233187865,0.252148492527267,0.540300288986237,0.0624335967601438,47458.0033776119
"51",624.5451,101.991601,612.349540429314,332.9494,103.3922346,322.02553826997,157.3144,101.6197341,154.806939216347,101.8622719,345.2542,338.942175115574,260.6885,255.922526699505,60.0196,69.8467,1.6319166667,0.552809076558282,0.417405404349502,0.111836118800708,0.251886372977708,0.533107056640105,0.0961013063748318,48916.4270969585
